video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=e3sKSqFCJBg&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@2hearts1seoul,2hearts1seoul,"HANOI is intense! 🇻🇳😵‍💫 local food, hidden cafes, shopping & culture shock | korea to vietnam travel",119K,3 months,Get an exclusive 15% discount on Saily data plans! Use code 2HEARTS1SEOUL at checkout! Download Saily app or go to ...,2026-01-20 03:15:29.267829
/watch?v=3AD8mQZXBgk&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@tworoamingsouls,Two Roaming Souls - Jake & Emily,How to Plan A Trip To Vietnam | Step-by-Step Travel Guide,8.2K,1 year,"Planning your dream trip to Vietnam? Join me for the ultimate guide to stress-free travel! Learn how to book flights, apply for ...",2026-01-20 03:15:29.271661
/watch?v=zxMCl_j2HCo&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@PaddyDoyle.,Paddy Doyle,the BEST PLACES in VIETNAM to visit in 2024 (Travel Guide),526K,3 years,"Don't forget your Travel Insurance, this is the fantastic one I use - https://safetywing.com/nomad-insurance/?",2026-01-20 03:15:29.273200
/watch?v=U9j10hMsHWU&t=70s&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@PuriandSue,Puri and Sue,Ho Chi Minh City - 18 Things to do | 4D3N Itinerary | What to do in Saigon,135K,6 months,"Ho Chi Minh City, Vietnam's largest city, or still commonly referred to by its former name, Saigon. It's truly one of the most vibrant ...",2026-01-20 03:15:29.274947
/watch?v=j9dNi7ty798&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravisTravelsVN,Travis Travels Vietnam,Why VIETNAM is the better choice over Thailand and Philippines in 2026,44K,2 weeks,Traveling to Vietnam? Join my travel group here⬇️ https://travelvietnam.bio/Vietnam2026 ✓Local Recommendations  ☕     ...,2026-01-20 03:15:29.276690
/watch?v=zl7kiXxwfJk&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@HunaTravel,HuNa Travel,Unseen VietNam | Hidden Worlds You Won’t Believe Are Real | Travel Video 4K,89K,7 months,UNSEEN VIETNAM Hidden Worlds You Won't Believe Are Real | Travel Video 4K Welcome to HuNa Travel – where hidden ...,2026-01-20 03:15:29.280097
/watch?v=v6_D8Q3gcrY&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravisTravelsVN,Travis Travels Vietnam,Pros & Cons after 1 year in a VIETNAM Beach Town,1.2M,1 year,Traveling to Vietnam? Join the DA NANG SOCIAL CLUB here ⬇️ https://www.skool.com/travel-vietnam-6703/about ✓Local ...,2026-01-20 03:15:29.281347
/watch?v=LwQkm6VwWXc&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@MaliaRamos,Malia Ramos,"VIETNAM diaries 🇻🇳 4 days in da nang itineray, hoi an day trip, local eats, ba na hills + prices",72K,8 months,"come with me to da nang, vietnam finally kicking off our first leg of our trip in central vietnam where we explored the beaches ...",2026-01-20 03:15:29.283178
/watch?v=Srlc8GWDsGo&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@WorldHopperTV,World Hopper TV,Amazing Places To Visit in Vietnam  🇻🇳 - Travel Video,81K,1 year,"Vietnam is a land of vibrant cities, ancient culture, and stunning natural beauty. From the bustling streets of Hanoi to the emerald ...",2026-01-20 03:15:29.287032
/shorts/FIODkqCxJY0,/@findouty,Find Out Why,"""DON’T Go to Vietnam!"" 🇻🇳 #vietnamtravelguide #travel #vietnamtravel #hochiminh #hanoi #hoian",3.9M,11 months,Don't go to Vietnam it's unsafe full of scams you'll get food poisoning and the traffic is terrible I solo travel Vietnam for 2 months ...,2026-01-20 03:15:29.288705
/watch?v=19IFTmxIz6s&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@brettconti,Brett Conti,Living on $20/day in VIETNAM (World’s Cheapest Country),316K,8 months,Living on $20/day in VIETNAM (World's Cheapest Country) Skip the waitlist and invest in blue-chip art for the very first time by ...,2026-01-20 03:15:38.183056
/watch?v=HsetJ9zWFgA&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@RhettandClaire,Rhett and Claire,"How to travel Northern Vietnam | Halong bay, Ninh Binh, Sa Pa and Hanoi😍",445K,2 years,"Here's how to BEST spend your time in the most beautiful part of Vietnam! We're sharing what to do, where to stay and how to get ...",2026-01-20 03:15:38.184315
/watch?v=forGxhh8siQ&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@Momo-travel2022,Momo  Travel,8 day Vietnam solo trip on Vietnam's most luxurious train SJourney,981K,5 months,Vietnam is so beautiful and its people are so friendly. 8 days is more than enough to fall in love with Vietnam. It was a wonderful ...,2026-01-20 03:15:38.185336
/watch?v=rObGoowuMqI&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@cristinejbb_02,Cristine Buenas,"Vietnam Travel Vlog: Hanoi, Sapa, HaLong Bay 🇻🇳 — DIY Itinerary w/ Expenses | Cristine Buenas",14K,8 months,VLOG # 8: CHEERS TO ONE DECADE! Celebrated our 10th Anniversary in Vietnam ✨ — Join us as we explore Hanoi ...,2026-01-20 03:15:38.186006
/watch?v=MlejS6-fdnY&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@adamandyaz,Adam & Yaz,"How Cheap is The World's Cheapest City? Hanoi, Vietnam",120K,6 months,Grab yourself the Insta360 Flow 2 Pro - use code INRVT9E for a free gift!,2026-01-20 03:15:38.187028
/watch?v=ClVTbEHdbK0&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@WhatThePho,What The Pho ,What to Pack for Vietnam That No One Tells You About?,98K,11 months,... Vietnam Travel E-book https://phovnlover.gumroad.com/l/UltimateVietnamGuidebook ✈️Health insurance https://bit.ly/3tFPXrp ...,2026-01-20 03:15:38.188120
/watch?v=43kzz71W4lM&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@thetraveling3,The Traveling 3,"4 Days Into Vietnam's EPIC Highlands 🇻🇳 (Sapa, Vietnam)",77K,6 months,"We've heard amazing things about Northern Vietnam, but NOTHING prepared us for the breath-taking beauty and deeply rich ...",2026-01-20 03:15:38.189158
/watch?v=CmgzylLH0q8&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@HeavenExplorer,Heaven Explorer,🇻🇳Ultimate 7 Days Vietnam Travel Guide✈️ | Best Tourist Places | Complete Budget & Itinerary,355K,6 months,Join us as we explore the stunning landscapes and vibrant culture of Vietnam — from war tunnels and ancient towns to scenic ...,2026-01-20 03:15:38.189823
/watch?v=NB9ZY3ma-zA&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@8KEarthWonders-z5d,8K Earth Wonders,Wonders of Vietnam - The Most Amazing Places in Vietnam - Travel Video 4K,243K,1 year,Wonders of Vietnam - The Most Amazing Places in Vietnam - Travel Video 4K Vietnam is a country of breathtaking landscapes ...,2026-01-20 03:15:38.190778
/watch?v=Cqawiry5HTY&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@LloydandMandy,Lloyd & Mandy,10 Things We Wish We Knew BEFORE Travelling To VIETNAM in 2025,1.2M,3 years,"Want a Sim card that works anywhere in the world? Click here: https://holafly.sjv.io/o4K05e In today's Vietnam travel vlog, we give ...",2026-01-20 03:15:38.191740
/watch?v=y8y9batmdEA&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@GIRLINPARADISE,GIRL IN PARADISE,"🇻🇳🌲🎅 HANOI VIETNAM: Why Tourists LOVE Hanoi 🇻🇳 Cheap, Safe & FULL of Life!, 4K HDR",11K,3 weeks,"Hanoi Vietnam The Best City for First-Time Asia Travelers, 4K HDR, Hanoi, Vietnam is one of the most exciting, affordable, ...",2026-01-20 03:15:38.192621
/shorts/mlAdOl_AmDs,/@uyenninh,Uyen Ninh,Travel Hanoi with a local,13M,8 months,Become a channel member and receive exclusive perks: https://www.youtube.com/channel/UC-uNVV92llYIMC5-ZUF0Q4w/join Hi ...,2026-01-20 03:15:38.193277
/watch?v=-xgi6XQ5emk&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@LloydandMandy,Lloyd & Mandy,HOW TO TRAVEL VIETNAM - The ONLY guide you'll need in 2024!,325K,2 years,Tailored Vietnam journey? Get a free itinerary & quote: https://izitour.com/en/best-vietnam-tour-packages?aff=5&vid=7 The ...,2026-01-20 03:15:38.194255
/watch?v=zhyUIJFIhcQ&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@kranthitravelvlogger,Kranthi Travel Vlogger,Ho Chi Minh City Tour 🇻🇳 || Vietnam Vlogs Telugu || Ho Chi Minh City Tourist Places,2.7K,20 hours,Ho Chi Minh City Tour || Vietnam Vlogs Telugu || Ho Chi Minh City Tourist Places My Instagram Id ...,2026-01-20 03:15:38.194925
/watch?v=VR8EJTfwY0g&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@chefrvmanabat,Chef RV Manabat,"HANOI, VIETNAM | Michelin-rated street foods, Vietnamese Halo-Halo, Tasty Pho, and more!",504K,11 months,Hello Happy New Year so For Our first trip this year Saan kami pupunta we're going back to Vietnam but this time we're going to ...,2026-01-20 03:15:38.195596
/shorts/_sM9COp1IsQ,/@shesbookingtheflight,Bianca Lynch,Traveling to Vietnam as a Black Woman | Hanoi Travel | Vietnam Travel | Black in Asia  Living Abroad,21K,1 year,CLICK HERE FOR TRAVEL RESOURCES%% My honest opinion on how I felt traveling in Vietnam as a black woman from the ...,2026-01-20 03:15:38.196318
/shorts/GE4EgoAVqPA,/@travelwithzostel,Zostel,Top 5 things to do in Vietnam | Vietnam Itinerary 2026,1.6M,2 years,#zostel #liveitnow #vietnamese #vietnamtravel #vietnamtrip #southeastasia #hanoi #vietnam #vietnamese.,2026-01-20 03:15:38.198374
